Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,,Min TOEFL iBT,Min IELTS Overall
,College Diploma - Architectural Technician (3101),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1017,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Architectural Technology (Optional Co-op) (3105),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1017,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Architectural Technology - Fast Track (Optional Co-op) (3125),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,3-Year Bachelor's Degree,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Diploma - Biotechnology (3601),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,Advanced College Diploma - Biotechnology - Advanced (Optional Co-op) (3602),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1017,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Biotechnology - Advanced - Fast Track (Optional Co-op) (3622),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Diploma - Biotechnology - Fast Track (3621),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Diploma - Environmental Technician (4201),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,College Diploma - Environmental Technician  - Fast Track (4221),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Environmental Technology (Optional Co-op) (4202),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,Advanced College Diploma - Environmental Technology - Fast Track (Optional Co-op) (4222),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Diploma - Esthetician (9153),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,Advanced College Diploma - Food Science Technology (Optional Co-op) (3620),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1017,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Food Science Technology - Fast Track (Optional Co-op) (3631),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Certificate - General Arts (6700),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,College Diploma - Healthcare Environmental Services Management (9158),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,College Diploma - Liberal Arts - Transfer to University of Toronto Scarborough (6705),"CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,Advanced College Diploma - Massage Therapy (5110),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1017,DLI#: O19394700003,84,6.5
,College Diploma - Nutrition and Food Service Management (1607),"CA$ 14,080.00",CA$ 0.00,Start: Sep 2020Jan 2021Sep 2021,2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,84,6.5
,College Certificate - Personal Support Worker (9111),"CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,84,6.5
,College Diploma - Pharmacy Technician (5850),"CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,22,25,21,23,6,6,6,6,1017,DLI#: O19394700003,91,6.5
,Graduate Certificate - Construction Management (3130),"CA$ 22,482.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Undergraduate Advanced Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,Graduate Certificate - Workplace Wellness and Health Promotion (1213),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,English Language Learning (6519) (Main Campus Only),"CA$ 8,827.00",CA$ 0.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,,,,,,,,,,1017,DLI#: O19394700003,,
,College Diploma - Liberal Arts to York University (6707),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Diploma - Liberal Arts to Trent University (6706),"CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Diploma - Liberal Arts (6701),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1017,DLI#: O19394700003,88,6.5
,College Certificate - Health Studies and Communications Skills (9310),"CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1017,DLI#: O19394700003,80,6
,Royal Canadian Institute of International Studies (RCIIS) - Canadian College Academic Pathway - Intensive (30 hours/week),"CA$ 14,700.00",CA$ 0.00,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Sep 2021, Nov 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,1017,DLI#: O19394700003,,
