Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Bachelor of Justice/ Bachelor of Laws (Honours),30900,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Law,Justice,per year,Brisbane,English
,Bachelor of Science/Bachelor of Laws (Honours),35400,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Brisbane,English
,Bachelor of Communication (Digital Media)/ Bachelor of Justice,31500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Digital Media,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Journalism)/ Bachelor of Justice,31500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Journalism,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Professional Communication)/ Bachelor of Justice,31500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Professional Accounting,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Human Services/ Bachelor of Justice,31600,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Human Services,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Creative Industries,31800,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Social Science,Creative Industries,per year,Kelvin Grove,English
,Bachelor of Business/Bachelor of Creative Industries,31500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Social Science,Creative Industries,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Creative Industries/ Bachelor of Human Services,31500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Human Services,per year,Kelvin Grove,English
,Bachelor of Information Technology/ Bachelor of Creative Industries,34200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Social Science,Creative Industries,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Digital Media)/ Bachelor of Information Technology,33900,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,IT,IT,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Journalism)/ Bachelor of Science,37100,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Professional Communication)/ Bachelor of Nutrition Science,36400,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Nutrition Science,per year,Kelvin Grove,English
,Bachelor of Communication (Professional Communication)/ Bachelor of Public Health,35200,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Health,Public Health,per year,Kelvin Grove,English
,Bachelor of Communication (Professional Communication)/ Bachelor of Science,37100,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Design - International (Fashion),33600,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Design,Fashion,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Design - International (Industrial Design),36200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Design,Industrial Design,per year,Brisbane,English
,Bachelor of Design - International (Interaction Design),36200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Design,Interaction Design,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Design - International (Visual Communication),36200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Design,Visual Communication,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Design (Industrial Design)/Bachelor of Engineering (Honours),38800,100,"Feb, Jul",5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Engineering,per year,Brisbane,English
,Bachelor of Design (Industrial Design)/Bachelor of Law (Honours),33200,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Law,LAw,per year,Brisbane,English
,Bachelor of Design(Interaction Design)/ Bachelor of Engineering (Honours),38800,100,"Feb, Jul",5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Engineering,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Design(Interaction Design)/ Bachelor of Information Technology,36100,100,"Feb, Jul",5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,IT,IT,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Medical Imaging (Honours),36000,100,Feb,4 years,,,20,20,20,20,6.5,6.5,6.5,6.5,QUOT1001,,98,7,58,58,58,58,65,Bachelor's Degree,Medical,Medical Imaging,per year,Brisbane,English
,Bachelor of Nutrition & Dietetics (Honours),40200,100,Feb,4 years,,,20,20,20,20,6.5,6.5,6.5,6.5,QUOT1001,,98,7,58,58,58,58,65,Bachelor's Degree,Medical,Nutrition & Dietetics,per year,Kelvin Grove,English
,Bachelor of Podiatry,41600,100,Feb,4 years,,,20,20,20,20,6.5,6.5,6.5,6.5,QUOT1001,,98,7,58,58,58,58,65,Bachelor's Degree,Science,Podiatry,per year,Kelvin Grove,English
,Bachelor of Podiatry (Graduate Entry),31700,100,Jul,2.5 years,,,20,20,20,20,6.5,6.5,6.5,6.5,QUOT1001,,98,7,58,58,58,58,65,Bachelor's Degree,Science,Podiatry,per year,Kelvin Grove,English
,Bachelor of Vision Science,40200,100,Feb,3 years,,,20,20,20,20,6.5,6.5,6.5,6.5,QUOT1001,,98,7,58,58,58,58,65,Bachelor's Degree,Science,Vision Science,per year,Kelvin Grove,English
,Bachelor of Behavioural Science (Psychology)/Bachelor of Justice,31400,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Behavioural Science,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Behavioural Science (Psychology)/Bachelor of Social Work,31400,100,"Feb, Jul",5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Behavioural Science,per year,Kelvin Grove,English
,Bachelor of Nursing/Bachelor of Behavioural Science (Psychology),37100,100,Feb,4 years,,,23,23,23,23,7,7,7,7,QUOT1001,,98,7,65,65,65,65,65,Bachelor's Degree,Medical,Nursing,per year,Kelvin Grove,English
,Bachelor of Nursing/Bachelor of Public Health,35400,100,Feb,4 years,,,23,23,23,23,7,7,7,7,QUOT1001,,98,7,65,65,65,65,65,Bachelor's Degree,Medical,Nursing,per year,Kelvin Grove,English
,Bachelor of Behavioural Science (Psychology),31900,100,Feb,1 year,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Behavioural Science,per year,Kelvin Grove,English
,Bachelor of Human Services/ Bachelor of Public Health,34600,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Health,Public Health,per year,Kelvin Grove,English
,Bachelor of Biomedical Science/ Bachelor of Mathematics,42200,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Mathematics,per year,"Gardens Point (Brisbane), Kelvin Grove",English
,Master of Advance Practice Nursing,30700,100,"Feb, Jul",1.5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Medical,Nursing,per year,Kelvin Grove,English
,Master of Optometry,33400,100,Feb,2 years,,,20,20,20,20,6.5,6.5,6.5,6.5,QUOT1001,,98,7,58,58,58,58,65,Master's Science,Medical,Optometry,per year,Kelvin Grove,English
,Master of Psychology (Educational and Developmental),31600,100,Feb,2 years,,,23,23,23,23,7,7,7,7,QUOT1001,,105,7.5,65,65,65,65,73,Master's Science,Science,Psychology,per year,Kelvin Grove,English
,Bachelor of Engineering (Honours) (Computer and Software Systems),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Computer Engineering,per year,Brisbane,English
,Bachelor of Design (Interaction Design)/ Bachelor of Information Technology,36100,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,IT,IT,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Engineering (Honours) / Bachelor of Information Technology,38500,100,"Feb, Jul",5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,IT,IT,per year,Brisbane,English
,Bachelor of Games And Interactive Environments/ Bachelor of Mathematics,35400,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Mathematics,per year,Garden Point,English
,Bachelor of InformationTechnology/ Bachelor of Mathematics,35700,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Mathematics,per year,Garden Point,English
,Bachelor of Science/ Bachelor of Games And Interactive Environments,37100,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Games & Interactive Environments,Games & Interactive Environments,per year,Garden Point,English
,Bachelor of Science/ Bachelor of Information Technology,38900,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,IT,IT,per year,Garden Point,English
,Bachelor of Engineering (Honours)/ Bachelor of Mathematics,38100,100,Feb,5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Mathematics,per year,Garden Point,English
,Bachelor of Engineering (Honours)/Bachelor of Science,39400,100,"Feb, Jul",5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Garden Point,English
,Bachelor of Mathematics (Optional Research),34100,100,Feb,3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Mathematics,per year,Brisbane,English
,Bachelor of Mathematics (Honours),42600,100,"Feb, Jul",1 year,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Mathematics,per year,Brisbane,English
,Bachelor of Science (Honours),39800,100,"Feb, Jul",1 year,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Brisbane,English
,Master of Business Process Management,34700,100,"Feb, Jul",1.5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Business,per year,Brisbane,English
,Master of Architecture,34700,100,"Feb, Jul",1 year,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Architecture ,Architecture ,per year,Brisbane,English
,Master of Business Administration (MBA),49400,100,Sep Feb,1.5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Administration,per year,Brisbane,English
,Master of Project Management,34500,100,"Feb, Jul",1.5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Project Management,per year,Brisbane,English
,Master of Professional Engineering (Civil),38000,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Engineering,Civil Enginering,per year,Gardens Point,English
,Master of Engineering and Master of Project Management,34500,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Engineering,Engineering,per year,Gardens Point,English
,Master of Engineering Management and Master of Project Management,35800,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Engineering,Management,per year,Gardens Point,English
,Master of Engineering Management and Master of Engineering,35800,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Engineering,Management,per year,Gardens Point,English
,Master of Data Analytics,34700,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Data Analytics,per year,Brisbane,English
,Bachelor of Design (Architecture),36100,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Design,per year,Brisbane,English
,Bachelor of Design (Interior Architecture),36100,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Interior Architecture,per year,Brisbane,English
,Bachelor of Design (Landscape Architecture),36100,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Landscape Architecture,per year,Brisbane,English
,Bachelor of Design - International (Architecture),36200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Architecture,per year,Brisbane,English
,Bachelor of Design - International (Interior Architecture),36200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Interior Architecture,per year,Brisbane,English
,Bachelor of Design - International (Landscape Architecture),36200,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Landscape Architecture,per year,Brisbane,English
,Bachelor of Business/Bachelor of Design (Architecture),33600,100,"Feb, Jul",4.5 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Architecture,per year,Brisbane,English
,Bachelor of Business/Bachelor of Design (Interior Architecture),33700,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Interior Architecture,per year,Brisbane,English
,Bachelor of Business/Bachelor of Design (Landscape Architecture),33700,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Landscape Architecture,per year,Brisbane,English
,Bachelor of Design (Architecture)/Bachelor of Property Economics,33900,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Real Estate,Property Economics,per year,Brisbane,English
,Bachelor of Design (Interior Architecture)/Bachelor of Property Economics,33900,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Real Estate,Property Economics,per year,Brisbane,English
,Bachelor of Urban Development (Honours) (Urban and Regional Planning),32300,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Urban & Regional Planning,per year,Brisbane,English
,Bachelor of Laws (Honours),30300,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Law,Laws,per year,Brisbane,English
,Bachelor of Laws (Honours) - Graduate Entry,30300,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Law,Honours,per year,Brisbane,English
,Bachelor of Behavioural Science (Psychology)/Bachelor of Justice,31400,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Law,Justice,per year,Brisbane,English
,Bachelor of Business (Financial Planning),31100,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Financial Planning,per year,Brisbane,English
,Bachelor of Business - International,31100,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,International Business,per year,Brisbane,English
,Bachelor of Pharmacy (Honours),38000,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Medical,Pharmacy,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Chemical Process),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Chemical Process Engineering,per year,Brisbane,English
,Master of Digital Communication,30300,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Mass & Media,Digital Communication,per year,Brisbane,English
,Master of Philosophy,0,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Science,Philosophy,per year,Brisbane,English
,Master of Project Management,34500,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Project Management,per year,Brisbane,English
