name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#
College of the North Atlantic - Corner Brook,632,,,,CANADA,Newfoundland,Corner Brook,,,,,,,DLI#: O19441088976
College of the North Atlantic - Gander,635,,,,CANADA,Newfoundland,Gander,,,,,,,DLI#: O19441088976
College of the North Atlantic - Grand Falls - Windsor,636,,,,CANADA,Newfoundland,Grand Falls-Windsor,,,,,,,DLI#: O19441088976
College of the North Atlantic - Happy Valley-Goose Bay,637,,,,CANADA,Newfoundland,Happy Valley-Goose Bay,,,,,,,DLI#: O19441088976
College of the North Atlantic - Labrador West,638,,,,CANADA,Newfoundland,Labrador City,,,,,,,DLI#: O19441088976
College of the North Atlantic - Placentia,639,,,,CANADA,Newfoundland,Placentia,,,,,,,DLI#: O19441088976
College of the North Atlantic - Port aux Basques,640,,,,CANADA,Newfoundland,Port aux Basques,,,,,,,DLI#: O19441088976
College of the North Atlantic - Prince Philip Drive,641,,,,CANADA,Newfoundland,St. John's,,,,,,,DLI#: O19441088976
College of the North Atlantic - Ridge Road,642,,,,CANADA,Newfoundland,St. John's,,,,,,,DLI#: O19441088976
College of the North Atlantic - Seal Cove,643,,,,CANADA,Newfoundland,Conception Bay South,,,,,,,DLI#: O19441088976
College of the North Atlantic - St. Anthony,644,,,,CANADA,Newfoundland,St. Anthony,,,,,,,DLI#: O19441088976
Virginia International University,192,,,,USA,Virginia,Fairfax,,,,,,,
Tacoma Community College,508,,,,USA,Washington,Tacoma,,,,,,,
Northeast Wisconsin Technical College - Marinette,886,,,,USA,Wisconsin,Marinette,,,,,,,
Northeast Wisconsin Technical College - Sturgeon Bay,887,,,,USA,Wisconsin,Sturgeon Bay,,,,,,,
Red River College,25,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19305836302
Red River College - Exchange District Campus,486,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19305836302
Selkirk College - Castlegar,16,,,,CANADA,British Columbia,Castlegar,,,,,,,DLI#: O19360990072
Selkirk College - Nelson,1129,,,,CANADA,British Columbia,Nelson,,,,,,,DLI#: O19360990072
Northeast Wisconsin Technical College - Green Bay,146,,,,USA,Wisconsin,Green Bay,,,,,,,
Freed-Hardeman University - Henderson Campus,1125,,,,USA,Tennessee,Henderson,,,,,,,
College of San Mateo,51,,,,USA,California,San Mateo,,,,,,,
College of the Rockies,42,,,,CANADA,British Columbia,Cranbrook,,,,,,,DLI#: O19377233362
NorQuest College,227,,,,CANADA,Alberta,Edmonton,,,,,,,DLI#: O18795996622
St. Lawrence College - Kingston,19,,,,CANADA,Ontario,Kingston,,,,,,,DLI#: O19332845222
St. Lawrence College - Brockville,1049,,,,CANADA,Ontario,Brockville,,,,,,,DLI#: O19332845222
St. Lawrence College - Cornwall,231,,,,CANADA,Ontario,Cornwall,,,,,,,DLI#: O19332845222
St. Clair College - Chatham Campus,515,,,,CANADA,Ontario,Chatham,,,,,,,DLI#: O19395083703
St. Clair College - South Campus,31,,,,CANADA,Ontario,Windsor,,,,,,,DLI#: O19395083703
St. Clair College - Downtown Campuses,1079,,,,CANADA,Ontario,Windsor,,,,,,,DLI#: O19395083703
College of New Caledonia,251,,,,CANADA,British Columbia,Prince George,,,,,,,DLI#: O19360977332
Bow Valley College,239,,,,CANADA,Alberta,Calgary,,,,,,,DLI#: O19273769422
San Mateo Colleges - Skyline College,155,,,,USA,California,San Bruno,,,,,,,
College of the North Atlantic - Baie Verte,624,,,,CANADA,Newfoundland,Baie Verte,,,,,,,DLI#: O19441088976
College of the North Atlantic - Carbonear,630,,,,CANADA,Newfoundland,Carbonear,,,,,,,DLI#: O19441088976
Confederation College,21,,,,CANADA,Ontario,Thunder Bay,,,,,,,DLI#: O19376986752
Olds College,1131,,,,CANADA,Alberta,Olds,,,,,,,DLI#: O18713227822
Olds College - Calgary,1137,,,,CANADA,Alberta,Calgary,,,,,,,DLI#: O18713227822
Holland College - Prince of Wales,996,,,,CANADA,Prince Edward Island,Charlottetown,,,,,,,DLI#: O19220082122
Holland College - Summerside Waterfront,997,,,,CANADA,Prince Edward Island,Summerside,,,,,,,DLI#: O19220082122
Holland College - West Prince,998,,,,CANADA,Prince Edward Island,Alberton,,,,,,,DLI#: O19220082122
Holland College - Georgetown,999,,,,CANADA,Prince Edward Island,Georgetown,,,,,,,DLI#: O19220082122
South Puget Sound Community College,157,,,,USA,Washington,Olympia,,,,,,,
Medicine Hat College,253,,,,CANADA,Alberta,Medicine Hat,,,,,,,DLI#: O18795445892
Medicine Hat College - Brooks,254,,,,CANADA,Alberta,Brooks,,,,,,,DLI#: O18795445892
Yorkville University - Toronto,93,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19396019511
Yorkville University - Vancouver,350,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O129034707957
Cambrian at Hanson - Vancouver,177,,,,CANADA,British Columbia,New Westminster,,,,,,,DLI#: O19618862812
Cambrian College,38,,,,CANADA,Ontario,Sudbury,,,,,,,DLI#: O19394699409
Northern Lights College - Dawson Creek,505,,,,CANADA,British Columbia,Dawson Creek,,,,,,,DLI#: O19395299444
Northern Lights College - Fort St. John,509,,,,CANADA,British Columbia,Fort St. John,,,,,,,DLI#: O19395299444
San Mateo Colleges - Cañada College,152,,,,USA,California,Redwood City,,,,,,,
Lakeland College,142,,,,CANADA,Alberta,Vermillion,,,,,,,DLI#: O18777577472
Loyalist College,489,,,,CANADA,Ontario,Belleville,,,,,,,DLI#: O19359011572
Crandall University,1188,,,,CANADA,New Brunswick,Moncton,,,,,,,DLI#: O19391275763
Sault College,166,,,,CANADA,Ontario,Sault Ste. Marie,,,,,,,DLI#: O19395677683
Mission College,620,,,,USA,California,Santa Clara,,,,,,,
Centre for Arts and Technology - Kelowna,517,,,,CANADA,British Columbia,Kelowna,,,,,,,DLI#: O19283900882
Centre for Arts and Technology - Surrey,518,,,,CANADA,British Columbia,Surrey,,,,,,,DLI#: O19283900882
Winston College,17,,,,CANADA,British Columbia,New Westminster,,,,,,,DLI#: O19280640022
LBPSB - Pearson Electrotechnology Centre,1042,,,,CANADA,Quebec,Lachine,,,,,,,DLI#: O246881963996
Florida Polytechnic University,1043,,,,USA,Florida,Lakeland,,,,,,,
ACCESS Adult Education & Career Training Centre,1044,,,,CANADA,Quebec,Saint-Lambert,,,,,,,DLI#: O246877185939
Canadian College for Higher Studies,798,,,,CANADA,Ontario,Scarborough,,,,,,,DLI#: O19283878482
Liaison College - Brampton,802,,,,CANADA,Ontario,Brampton,,,,,,,DLI#: O19800254657
Marymount California University,291,,,,USA,California,Rancho Palos Verdes,,,,,,,
Greystone College - Vancouver,806,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19352522932
Acsenda School of Management,41,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19278931852
Greystone College of Business and Technology Inc.,809,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19376982302
SELC Career College Vancouver,45,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19395639791
Langara College - Academy of Art University,1072,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19319074622
IBT College,1074,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19359074332
RED Academy,1078,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O132321964227
LBPSB - Gordon Robertson Beauty Academy,1080,,,,CANADA,Quebec,Beaconsfield,,,,,,,DLI#: O246872714018
LBPSB - PACC Career Centre,1081,,,,CANADA,Quebec,LaSalle,,,,,,,DLI#: O246881964281
LBPSB - Sources Adult and Career Centre,1082,,,,CANADA,Quebec,Pierrefonds,,,,,,,DLI#: O246879963103
LBPSB - Verdun Adult and Career Centre,1083,,,,CANADA,Quebec,Verdun,,,,,,,DLI#: O246879963118
LBPSB - West Island Career Centre,1084,,,,CANADA,Quebec,Pierrefonds,,,,,,,DLI#: O246881963941
Westcliff University,61,,,,USA,California,Irvine,,,,,,,
American University of the Caribbean School of Medicine,1095,,,,USA,Florida,Pembroke Pines,,,,,,,
Christian Culinary Academy,585,,,,USA,Oregon,Cannon Beach,,,,,,,
Atlantis University,846,,,,USA,Florida,Miami,,,,,,,
Toronto Film School,352,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19396019511
LRSD - Arts and Technology Centre,1120,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19708693987
Pace University - English Language Institute - New York City,610,,,,USA,New York,New York,,,,,,,
Greystone College - Montreal,866,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O256818010442
Pace University - English Language Institute - Westchester,611,,,,USA,New York,White Plains,,,,,,,
International College of Manitoba,868,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19315356682
Fraser International College,870,,,,CANADA,British Columbia,Burnaby,,,,,,,DLI#: O19239078442
Liaison College - Vaughan,1130,,,,CANADA,Ontario,Vaughan,,,,,,,DLI#: O19800346567
Fulton-Montgomery Community College,116,,,,USA,New York,Johnstown,,,,,,,
ABC Access Business College,1146,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: 0242732890457
Blue Bird Flight Academy,380,,,,CANADA,British Columbia,Chilliwack,,,,,,,DLI#: O19394940288
St. Stephen's University,1149,,,,CANADA,New Brunswick,St. Stephen,,,,,,,DLI#: O19391276057
LIM College,141,,,,USA,New York,New York,,,,,,,
Hancock International College,162,,,,USA,California,Irvine,,,,,,,
Liaison College of Culinary Arts - Kitchener Campus,1187,,,,CANADA,Ontario,Kitchener,,,,,,,DLI#: O260428979632
Concordia Continuing Education,943,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O19359011007
CDE College,944,,,,CANADA,Quebec,Sherbrooke,,,,,,,DLI#: O19338281175
Royal Crown College of Business and Technology,699,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O242531216037
Canadian Institute of Management and Technology College - Mississauga - Malton,958,,,,CANADA,Ontario,Mississauga,,,,,,,DLI#: O19304117342
Canadian Institute of Management and Technology College - Brampton,963,,,,CANADA,Ontario,Brampton,,,,,,,DLI#: O19304117342
Canadian Institute of Management and Technology College - Mississauga - Dundas,964,,,,CANADA,Ontario,Mississauga,,,,,,,DLI#: O19304117342
Canadian Institute of Management and Technology College - Scarborough,965,,,,CANADA,Ontario,Scarborough,,,,,,,DLI#: O19304117342
East Coast Polytechnic Institute University - Virginia Beach,714,,,,USA,Virginia,Virginia Beach,,,,,,,
East Coast Polytechnic Institute University - Raleigh,716,,,,USA,North Carolina,Raleigh,,,,,,,
East Coast Polytechnic Institute University - Newport News,717,,,,USA,Virginia,Newport News,,,,,,,
East Coast Polytechnic Institute University - Northern Virginia,718,,,,USA,Virginia,Manassas,,,,,,,
University Bridge - San Francisco North Bay,721,,,,USA,California,Kentfield,,,,,,,
Create Career College,992,,,,CANADA,British Columbia,Burnaby,,,,,,,DLI#: O19275297052
Matrix College,229,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O242715034170
BLI Canada - Quebec City,766,,,,CANADA,Quebec,Quebec City,,,,,,,
Northern College - Kirkland Lake,208,,,,CANADA,Ontario,Kirkland Lake,,,,,,,DLI#: O19315830082
Northern College - Timmins,209,,,,CANADA,Ontario,South Porcupine,,,,,,,DLI#: O19315830082
Northern College - Haileybury,210,,,,CANADA,Ontario,Haileybury,,,,,,,DLI#: O19315830082
Sofia University,1123,,,,USA,California,Palo Alto,,,,,,,
Coast Mountain College - Prince Rupert,1035,,,,CANADA,British Columbia,Prince Rupert,,,,,,,DLI#: O110095977911
Coast Mountain College - Terrace,1036,,,,CANADA,British Columbia,Terrace,,,,,,,DLI#: O110095977911
Coast Mountain College - Smithers,1037,,,,CANADA,British Columbia,Smithers,,,,,,,DLI#: O110095977911
Assiniboine Community College,1037,,,,CANADA,Manitoba,Brandon,,,,,,,DLI#: O110095977911
LaSalle College - Montreal,100,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O19358462986
New Brunswick Community College - Fredericton,499,,,,CANADA,New Brunswick,Fredericton,,,,,,,DLI#: O19391556439
New Brunswick Community College - Miramichi,500,,,,CANADA,New Brunswick,Miramichi,,,,,,,DLI#: O19391556439
New Brunswick Community College - Moncton,501,,,,CANADA,New Brunswick,Moncton,,,,,,,DLI#: O19391556439
New Brunswick Community College - St. Andrews,502,,,,CANADA,New Brunswick,St. Andrews,,,,,,,DLI#: O19391556439
New Brunswick Community College - Saint John,503,,,,CANADA,New Brunswick,Saint John,,,,,,,DLI#: O19391556439
New Brunswick Community College - Woodstock,504,,,,CANADA,New Brunswick,Woodstock,,,,,,,DLI#: O19391556439
King's University College,133,,,,CANADA,Ontario,London,,,,,,,DLI#: O19376872842
Canadore College - Scarborough,331,,,,CANADA,Ontario,Scarborough,,,,,,,DLI#: O19395535239
Canadore College - Mississauga,206,,,,CANADA,Ontario,Mississauga,,,,,,,DLI#: O19395535239
Canadore College - Commerce Court,207,,,,CANADA,Ontario,North Bay,,,,,,,DLI#: O19395535239
Canadore College - Aviation,218,,,,CANADA,Ontario,North Bay,,,,,,,DLI#: O19395535239
Canadore College - College Drive,219,,,,CANADA,Ontario,North Bay,,,,,,,DLI#: O19395535239
CDI College - Montreal,1067,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O246881964376
CDI College - Laval,1068,,,,CANADA,Quebec,Laval,,,,,,,DLI#: O246881964376
CDI College - Longueuil,1069,,,,CANADA,Quebec,Longueuil,,,,,,,DLI#: O246881964376
CDI College - Pointe-Claire,1070,,,,CANADA,Quebec,Pointe-Claire,,,,,,,DLI#: O246881964376
CDI College - Anjou,1071,,,,CANADA,Quebec,Anjou,,,,,,,DLI#: O246881964376
Columbia College,80,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19279591302
Herzing College - Downtown Montreal,880,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O19338389261
Brescia University College,134,,,,CANADA,Ontario,London,,,,,,,DLI#: O19331472822
Manitoba Institute of Trades and Technology,27,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19391828428
Parkland College,228,,,,CANADA,Saskatchewan,Yorkton,,,,,,,DLI#: O19425521569
Alexander College - Burnaby,30,,,,CANADA,British Columbia,Burnaby,,,,,,,DLI#: O19347185182
Alexander College - Vancouver,237,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19347185182
LaSalle College - Vancouver,265,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19283933672
Stenberg College,516,,,,CANADA,British Columbia,Surrey,,,,,,,DLI#: O19283910772
Canadian College,43,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19352621432
Canadian College - (Through St. Lawrence College),974,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19352621432
University Canada West,160,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19377235822
Coquitlam College,335,,,,CANADA,British Columbia,Coquitlam,,,,,,,DLI#: O19244321962
Brighton College,20,,,,CANADA,British Columbia,Burnaby,,,,,,,DLI#: O19257044542
Renison University College,519,,,,CANADA,Ontario,Waterloo,,,,,,,DLI#: O19395281561
University of Arizona: Center for English as a Second Language,12,,,,USA,Arizona,Tucson,,,,,,,
Spring International Language Center - Arkansas,276,,,,USA,Arkansas,Fayetteville,,,,,,,
International House - Vancouver,793,,,,CANADA,British Columbia,Vancouver,,,,,,,
Eurocentres - Vancouver Campus,284,,,,CANADA,Ontario,Vancouver,,,,,,,DLI#: O19275179522
Heartland International English School - Winnipeg,799,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19179220532
GEOS Languages Plus,33,,,,CANADA,Alberta,Calgary,,,,,,,DLI#: O18831626322
Heartland International English School - Mississauga,803,,,,CANADA,Ontario,Mississauga,,,,,,,DLI#: O19179220532
Global Village English Centres - Toronto,36,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19517085782
Halifax Language Institute of Canada,805,,,,CANADA,Nova Scotia,Halifax,,,,,,,DLI#: O19091611322
East Coast Language College,44,,,,CANADA,Nova Scotia,Halifax,,,,,,,DLI#: O19130326522
American English College - Branch Campus,303,,,,USA,California,Rowland Heights,,,,,,,
Sprott Shaw Language College,48,,,,CANADA,British Columbia,Kamloops,,,,,,,DLI#: O19283917732
Study Abroad Canada Language Institute,64,,,,CANADA,Prince Edward Island,Charlottetown,,,,,,,DLI#: O19225872992
CanPacific College of Business and English,1089,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O255440517127
McGill University - School of Continuing Studies,583,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O19359011033
Eurocentres - San Diego Campus,848,,,,USA,California,San Diego,,,,,,,
Kaplan International English - Toronto,850,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19527292642
Kaplan International English - Vancouver,851,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19394941182
Kaplan International English - Boston (Fenway),852,,,,USA,Massachusetts,Boston,,,,,,,
Kaplan International English - Boston (Harvard Square),853,,,,USA,Massachusetts,Cambridge,,,,,,,
Kaplan International English - Chicago,854,,,,USA,Illinois,Chicago,,,,,,,
Kaplan International English - Miami,855,,,,USA,Florida,Coral Gables,,,,,,,
Kaplan International English - New York (Empire State),856,,,,USA,New York,New York,,,,,,,
Kaplan International English - New York (SoHo),857,,,,USA,New York,New York,,,,,,,
Kaplan International English - Philadelphia,858,,,,USA,Pennsylvania,Philadelphia,,,,,,,
Kaplan International English - Portland,859,,,,USA,Oregon,Portland,,,,,,,
The Language Gallery - Toronto,1115,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O129472251057
Kaplan International English - Seattle (Downtown),860,,,,USA,Washington,Seattle,,,,,,,
Kaplan International English - Seattle (Highline College),861,,,,USA,Washington,Seattle,,,,,,,
Kaplan International English - Washington DC,862,,,,USA,District Of Columbia,Washington,,,,,,,
The Language Gallery - Vancouver,1118,,,,CANADA,British Columbia,Vancouver,,,,,,,
Eurocentres - Toronto Campus,96,,,,CANADA,Ontario,Toronto,,,,,,,
Hansa Language Centre,105,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19361318822
Interlangues Language School,109,,,,CANADA,Ontario,Ottawa,,,,,,,DLI#: O19394851127
Upper Madison College - Montreal Campus,877,,,,CANADA,Quebec,Montreal ,,,,,,,DLI#: O19529728922
ILSC Language Schools - Toronto,114,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O1937569774
Upper Madison College - Toronto Campus,119,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19529728922
Western Town College,123,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O110984817067
Bridge Language and Education Abroad,147,,,,USA,Colorado,Denver,,,,,,,
Kaplan International English - Berkeley,916,,,,USA,California,Berkeley,,,,,,,
Kaplan International English - Huntington Beach (Golden West College),917,,,,USA,California,Huntington Beach,,,,,,,
Kaplan International English - Los Angeles (Westwood),918,,,,USA,California,Los Angeles,,,,,,,
Kaplan International English - Los Angeles (Whittier College),919,,,,USA,California,Whittier,,,,,,,
Kaplan International English - San Diego,920,,,,USA,California,San Diego,,,,,,,
Kaplan International English - San Francisco,921,,,,USA,California,San Francisco,,,,,,,
Kaplan International English - Santa Barbara,922,,,,USA,California,Santa Barbara,,,,,,,
American English College - Main Campus,181,,,,USA,California,Monterey Park,,,,,,,
GEOS Languages Plus - Ottawa,1220,,,,CANADA,Ontario,Ottawa,,,,,,,
Silicon Valley Intensive English Program at San Mateo Colleges,713,,,,USA,California,Redwood City,,,,,,,
Global Language Institute,715,,,,USA,Minnesota,St. Paul,,,,,,,
Inlingua DC - Arlington,977,,,,USA,Virginia,Arlington,,,,,,,
Trinity Language Centre,723,,,,CANADA,British Columbia,Richmond,,,,,,,DLI#: O19347055392
Académie Linguistique Internationale (ALI),979,,,,CANADA,Quebec,Montreal,,,,,,,
ILSC Language Schools - Vancouver,726,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19275396842
ILSC Language Schools - Montréal,727,,,,CANADA,Quebec,Montréal,,,,,,,DLI#: O19359201512
International Centre for EAP - Cape Breton University Campus,994,,,,CANADA,Nova Scotia,Sydney,,,,,,,DLI#: O19210055012
International Centre for EAP - Toronto Campus,995,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19210055012
Global Village English Centres - Vancouver,485,,,,CANADA,British Columbia,Vancouver,,,,,,,DLI#: O19330822902
BLI Canada - Montreal,746,,,,CANADA,Quebec,Montreal,,,,,,,
Royal Canadian Institute of International Studies (RCIIS),1020,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19440339342
Academy of Applied Pharmaceutical Sciences,195,,,,CANADA,Ontario,North York,,,,,,,DLI#: O19376386952
Inter-Dec College - Montreal,262,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O19338389324
Inter-Dec College - Laval,263,,,,CANADA,Quebec,Laval,,,,,,,DLI#: O19338389324
Canada College,1135,,,,CANADA,Quebec,Montreal,,,,,,,DLI#: O19338447695
IGlobal University,120,,,,USA,Virginia,Vienna,,,,,,,
Toronto International College,469,,,,CANADA,Ontario,Toronto,,,,,,,
Oulton College,1004,,,,CANADA,New Brunswick,Moncton,,,,,,,DLI#: O19391275785
Acadia University,269,,,,CANADA,Nova Scotia,Wolfville,,,,,,,DLI#: O19391556792
Cambrian at Hanson - Vancouver,177,,,,CANADA,British Columbia,New Westminster,,,,,,,DLI#: O19618862812
College of the North Atlantic - Seal Cove,643,,,,CANADA,Newfoundland,Conception Bay South,,,,,,,DLI#: O19441088976
Georgian College - Design and Digital Arts Centre,1276,,,,CANADA,Ontario,Barrie,,,,,,,DLI#: O19395677361
Oulton College,1004,,,,CANADA,New Brunswick,Moncton,,,,,,,DLI#: O19391275785
State University of New York at Oswego,186,,,,USA,New York,Oswego,,,,,,,
Toronto International College,469,,,,CANADA,Ontario,Toronto,,,,,,,
University of Manitoba,270,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19091528512
